,open,high,low,close,volume
2020-02-25 09:30:00,0.06,0.0625,0.06,0.06,1768.0
2020-02-25 09:31:00,0.06,0.06,0.06,0.06,23.0
2020-02-25 09:32:00,0.0625,0.0625,0.0625,0.0625,300.0
2020-02-25 09:33:00,0.06,0.06,0.06,0.06,2625.0
2020-02-25 09:34:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 09:35:00,0.0625,0.0625,0.0625,0.0625,10.0
2020-02-25 09:36:00,0.0625,0.0625,0.0625,0.0625,740.0
2020-02-25 09:37:00,0.0625,0.0625,0.0625,0.0625,0.0
2020-02-25 09:38:00,0.0613,0.0613,0.06,0.06,226.0
2020-02-25 09:39:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 09:40:00,0.058,0.06,0.058,0.06,52.0
2020-02-25 09:41:00,0.06,0.06,0.058,0.058,91.0
2020-02-25 09:42:00,0.058,0.058,0.058,0.058,0.0
2020-02-25 09:43:00,0.058,0.058,0.058,0.058,0.0
2020-02-25 09:44:00,0.0591,0.0591,0.0591,0.0591,40.0
2020-02-25 09:45:00,0.0591,0.0591,0.0591,0.0591,0.0
2020-02-25 09:46:00,0.0591,0.0591,0.0591,0.0591,0.0
2020-02-25 09:47:00,0.06,0.06,0.06,0.06,250.0
2020-02-25 09:48:00,0.059,0.059,0.058,0.058,407.0
2020-02-25 09:49:00,0.058,0.058,0.058,0.058,0.0
2020-02-25 09:50:00,0.058,0.058,0.058,0.058,0.0
2020-02-25 09:51:00,0.058,0.058,0.058,0.058,0.0
2020-02-25 09:52:00,0.058,0.058,0.058,0.058,0.0
2020-02-25 09:53:00,0.059,0.059,0.0583,0.0583,440.0
2020-02-25 09:54:00,0.0583,0.0583,0.0583,0.0583,0.0
2020-02-25 09:55:00,0.059,0.059,0.059,0.059,3.0
2020-02-25 09:56:00,0.059,0.059,0.059,0.059,0.0
2020-02-25 09:57:00,0.059,0.059,0.059,0.059,45.0
2020-02-25 09:58:00,0.059,0.059,0.059,0.059,0.0
2020-02-25 09:59:00,0.059,0.059,0.059,0.059,10.0
2020-02-25 10:00:00,0.059,0.059,0.059,0.059,523.0
2020-02-25 10:01:00,0.06,0.06,0.0595,0.0595,260.0
2020-02-25 10:02:00,0.06,0.06,0.06,0.06,323.0
2020-02-25 10:03:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:04:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:05:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:06:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:07:00,0.06,0.06,0.0595,0.06,738.0
2020-02-25 10:08:00,0.06,0.06,0.06,0.06,670.0
2020-02-25 10:09:00,0.06,0.06,0.06,0.06,100.0
2020-02-25 10:10:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:11:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:12:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:13:00,0.06,0.06,0.06,0.06,20.0
2020-02-25 10:14:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:15:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:16:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:17:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:18:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:19:00,0.06,0.06,0.06,0.06,25.0
2020-02-25 10:20:00,0.0595,0.0595,0.059,0.059,100.0
2020-02-25 10:21:00,0.059,0.059,0.059,0.059,129.0
2020-02-25 10:22:00,0.059,0.059,0.059,0.059,0.0
2020-02-25 10:23:00,0.059,0.059,0.059,0.059,0.0
2020-02-25 10:24:00,0.059,0.059,0.059,0.059,0.0
2020-02-25 10:25:00,0.0599,0.0599,0.0599,0.0599,15.0
2020-02-25 10:26:00,0.0599,0.0599,0.0599,0.0599,0.0
2020-02-25 10:27:00,0.0599,0.0599,0.0599,0.0599,0.0
2020-02-25 10:28:00,0.0599,0.0599,0.0599,0.0599,0.0
2020-02-25 10:29:00,0.057,0.057,0.057,0.057,166.0
2020-02-25 10:30:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:31:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:32:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:33:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:34:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:35:00,0.0572,0.0572,0.0572,0.0572,30.0
2020-02-25 10:36:00,0.0589,0.0589,0.0588,0.0588,386.0
2020-02-25 10:37:00,0.0571,0.0571,0.0571,0.0571,20.0
2020-02-25 10:38:00,0.0571,0.0571,0.0571,0.0571,0.0
2020-02-25 10:39:00,0.0571,0.0571,0.0571,0.0571,0.0
2020-02-25 10:40:00,0.0571,0.0571,0.0571,0.0571,0.0
2020-02-25 10:41:00,0.0571,0.0571,0.0571,0.0571,0.0
2020-02-25 10:42:00,0.057,0.057,0.057,0.057,100.0
2020-02-25 10:43:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:44:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:45:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:46:00,0.057,0.057,0.057,0.057,0.0
2020-02-25 10:47:00,0.0588,0.0588,0.0575,0.0575,5.0
2020-02-25 10:48:00,0.0573,0.0573,0.056,0.056,2.0
2020-02-25 10:49:00,0.059,0.059,0.0575,0.0575,1812.0
2020-02-25 10:50:00,0.06,0.06,0.06,0.06,2402.0
2020-02-25 10:51:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:52:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:53:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:54:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:55:00,0.06,0.06,0.06,0.06,0.0
2020-02-25 10:56:00,0.0591,0.0591,0.0591,0.0591,82.0
2020-02-25 10:57:00,0.0591,0.0591,0.0591,0.0591,0.0
