,open,high,low,close,volume
2020-02-25 09:30:00,0.894,0.92,0.888,0.92,528.0
2020-02-25 09:31:00,0.9311,0.9311,0.9311,0.9311,15.0
2020-02-25 09:32:00,0.9311,0.9311,0.9311,0.9311,0.0
2020-02-25 09:33:00,0.9311,0.9311,0.9311,0.9311,0.0
2020-02-25 09:34:00,0.9311,0.9311,0.9311,0.9311,0.0
2020-02-25 09:35:00,0.93,0.93,0.93,0.93,16.0
2020-02-25 09:36:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:37:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:38:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:39:00,0.95,0.95,0.95,0.95,10.0
2020-02-25 09:40:00,0.95,0.95,0.95,0.95,0.0
2020-02-25 09:41:00,0.95,0.95,0.95,0.95,0.0
2020-02-25 09:42:00,0.9465,0.9465,0.9465,0.9465,5.0
2020-02-25 09:43:00,0.9458,0.9458,0.9388,0.9388,10.0
2020-02-25 09:44:00,0.9388,0.9388,0.9388,0.9388,0.0
2020-02-25 09:45:00,0.9388,0.9388,0.9388,0.9388,0.0
2020-02-25 09:46:00,0.9388,0.9388,0.9388,0.9388,0.0
2020-02-25 09:47:00,0.9388,0.9388,0.9388,0.9388,0.0
2020-02-25 09:48:00,0.93,0.93,0.93,0.93,82.0
2020-02-25 09:49:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:50:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:51:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:52:00,0.93,0.93,0.93,0.93,0.0
2020-02-25 09:53:00,0.95,0.95,0.95,0.95,26.0
2020-02-25 09:54:00,0.956,0.956,0.956,0.956,10.0
2020-02-25 09:55:00,0.956,0.956,0.956,0.956,0.0
2020-02-25 09:56:00,0.9692,0.9692,0.9692,0.9692,37.0
2020-02-25 09:57:00,0.9692,0.9692,0.9692,0.9692,0.0
2020-02-25 09:58:00,0.9692,0.9692,0.9692,0.9692,0.0
2020-02-25 09:59:00,0.9845,0.9845,0.9845,0.9845,208.0
2020-02-25 10:00:00,0.9845,0.9845,0.9845,0.9845,0.0
2020-02-25 10:01:00,0.9845,0.9845,0.9845,0.9845,0.0
2020-02-25 10:02:00,0.9845,0.9845,0.9845,0.9845,0.0
2020-02-25 10:03:00,0.97,0.97,0.97,0.97,4.0
2020-02-25 10:04:00,0.97,0.97,0.97,0.97,0.0
2020-02-25 10:05:00,0.97,0.97,0.97,0.97,0.0
2020-02-25 10:06:00,0.968,0.968,0.968,0.968,9.0
2020-02-25 10:07:00,0.968,0.968,0.968,0.968,0.0
2020-02-25 10:08:00,0.968,0.968,0.968,0.968,0.0
2020-02-25 10:09:00,0.9613,0.9613,0.9572,0.9572,50.0
2020-02-25 10:10:00,0.9572,0.9572,0.9572,0.9572,0.0
2020-02-25 10:11:00,0.9649,0.9649,0.9649,0.9649,18.0
2020-02-25 10:12:00,0.9649,0.9649,0.9649,0.9649,0.0
2020-02-25 10:13:00,0.9649,0.9649,0.9649,0.9649,0.0
2020-02-25 10:14:00,0.9649,0.9649,0.9649,0.9649,0.0
2020-02-25 10:15:00,0.9649,0.9649,0.9649,0.9649,0.0
2020-02-25 10:16:00,0.9649,0.9649,0.9649,0.9649,0.0
2020-02-25 10:17:00,0.96,0.96,0.96,0.96,153.0
2020-02-25 10:18:00,0.9707,0.9744,0.9707,0.9744,100.0
2020-02-25 10:19:00,0.9635,0.9635,0.9635,0.9635,2.0
2020-02-25 10:20:00,0.9521,0.9521,0.9521,0.9521,2.0
2020-02-25 10:21:00,0.9521,0.9521,0.9521,0.9521,0.0
2020-02-25 10:22:00,0.9521,0.9521,0.9521,0.9521,0.0
2020-02-25 10:23:00,0.9521,0.9521,0.9521,0.9521,0.0
2020-02-25 10:24:00,0.9521,0.9521,0.9521,0.9521,0.0
2020-02-25 10:25:00,0.953,0.953,0.953,0.953,80.0
2020-02-25 10:26:00,0.953,0.953,0.953,0.953,0.0
2020-02-25 10:27:00,0.935,0.935,0.935,0.935,160.0
2020-02-25 10:28:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:29:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:30:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:31:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:32:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:33:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:34:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:35:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:36:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:37:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:38:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:39:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:40:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:41:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:42:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:43:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:44:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:45:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:46:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:47:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:48:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:49:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:50:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:51:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:52:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:53:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:54:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:55:00,0.935,0.935,0.935,0.935,0.0
2020-02-25 10:56:00,0.9464,0.9464,0.9464,0.9464,20.0
2020-02-25 10:57:00,0.9434,0.9434,0.9434,0.9434,7.0
2020-02-25 10:58:00,0.9434,0.9434,0.9434,0.9434,0.0
2020-02-25 10:59:00,0.9434,0.9434,0.9434,0.9434,0.0
2020-02-25 11:00:00,0.9434,0.9434,0.9434,0.9434,0.0
2020-02-25 11:01:00,0.9434,0.9434,0.9434,0.9434,16.0
2020-02-25 11:02:00,0.9434,0.9434,0.9434,0.9434,0.0
2020-02-25 11:03:00,0.94,0.94,0.94,0.94,10.0
2020-02-25 11:04:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:05:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:06:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:07:00,0.94,0.94,0.94,0.94,2.0
2020-02-25 11:08:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:09:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:10:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:11:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:12:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:13:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:14:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:15:00,0.94,0.94,0.94,0.94,0.0
2020-02-25 11:16:00,0.94,0.94,0.94,0.94,0.0
