,open,high,low,close,volume
2020-02-25 09:30:00,0.138,0.141,0.1365,0.141,166.0
2020-02-25 09:31:00,0.1397,0.1397,0.1397,0.1397,10.0
2020-02-25 09:32:00,0.1388,0.1388,0.1388,0.1388,25.0
2020-02-25 09:33:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 09:34:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 09:35:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 09:36:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 09:37:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 09:38:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 09:39:00,0.1397,0.1397,0.1397,0.1397,1.0
2020-02-25 09:40:00,0.1397,0.1397,0.1397,0.1397,5.0
2020-02-25 09:41:00,0.141,0.141,0.141,0.141,10.0
2020-02-25 09:42:00,0.141,0.141,0.141,0.141,0.0
2020-02-25 09:43:00,0.1401,0.142,0.1401,0.141,84.0
2020-02-25 09:44:00,0.141,0.141,0.141,0.141,0.0
2020-02-25 09:45:00,0.1401,0.142,0.1401,0.142,50.0
2020-02-25 09:46:00,0.142,0.142,0.142,0.142,0.0
2020-02-25 09:47:00,0.1401,0.145,0.1401,0.145,107.0
2020-02-25 09:48:00,0.145,0.145,0.145,0.145,0.0
2020-02-25 09:49:00,0.145,0.145,0.145,0.145,0.0
2020-02-25 09:50:00,0.145,0.145,0.145,0.145,0.0
2020-02-25 09:51:00,0.145,0.145,0.145,0.145,30.0
2020-02-25 09:52:00,0.1418,0.1449,0.14,0.1449,102.0
2020-02-25 09:53:00,0.141,0.145,0.141,0.145,15.0
2020-02-25 09:54:00,0.145,0.145,0.145,0.145,5.0
2020-02-25 09:55:00,0.145,0.145,0.145,0.145,15.0
2020-02-25 09:56:00,0.145,0.145,0.145,0.145,129.0
2020-02-25 09:57:00,0.145,0.145,0.145,0.145,50.0
2020-02-25 09:58:00,0.145,0.145,0.145,0.145,0.0
2020-02-25 09:59:00,0.1392,0.1392,0.1392,0.1392,1.0
2020-02-25 10:00:00,0.1392,0.1392,0.1392,0.1392,0.0
2020-02-25 10:01:00,0.1392,0.1392,0.1392,0.1392,0.0
2020-02-25 10:02:00,0.1392,0.1392,0.1392,0.1392,0.0
2020-02-25 10:03:00,0.142,0.142,0.14,0.14,20.0
2020-02-25 10:04:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:05:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:06:00,0.1404,0.1404,0.1388,0.14,14.0
2020-02-25 10:07:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:08:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:09:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:10:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:11:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:12:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:13:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:14:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:15:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:16:00,0.14,0.145,0.14,0.145,24.0
2020-02-25 10:17:00,0.145,0.145,0.145,0.145,0.0
2020-02-25 10:18:00,0.145,0.145,0.145,0.145,0.0
2020-02-25 10:19:00,0.143,0.143,0.14,0.14,213.0
2020-02-25 10:20:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:21:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:22:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:23:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:24:00,0.14,0.14,0.14,0.14,13.0
2020-02-25 10:25:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:26:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:27:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:28:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:29:00,0.14,0.14,0.1388,0.1388,20.0
2020-02-25 10:30:00,0.1388,0.1388,0.1388,0.1388,0.0
2020-02-25 10:31:00,0.14,0.14,0.14,0.14,50.0
2020-02-25 10:32:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:33:00,0.14,0.14,0.14,0.14,0.0
2020-02-25 10:34:00,0.14,0.14,0.14,0.14,0.0
