,open,high,low,close,volume
2020-04-23 09:30:00,1.8,1.94,1.8,1.94,3.0
2020-04-23 09:31:00,1.94,1.94,1.94,1.94,0.0
2020-04-23 09:32:00,1.94,1.94,1.94,1.94,0.0
2020-04-23 09:33:00,1.94,1.94,1.94,1.94,0.0
2020-04-23 09:34:00,1.94,1.94,1.94,1.94,0.0
2020-04-23 09:35:00,1.94,1.94,1.94,1.94,0.0
2020-04-23 09:36:00,1.76,1.76,1.7206,1.7206,10.0
2020-04-23 09:37:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:38:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:39:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:40:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:41:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:42:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:43:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:44:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:45:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:46:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:47:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:48:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:49:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:50:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:51:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:52:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:53:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:54:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:55:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:56:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:57:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:58:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 09:59:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 10:00:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 10:01:00,1.7206,1.7206,1.7206,1.7206,0.0
2020-04-23 10:02:00,1.7147,1.7147,1.7147,1.7147,2.0
2020-04-23 10:03:00,1.7147,1.7147,1.7147,1.7147,0.0
2020-04-23 10:04:00,1.7134,1.7134,1.7134,1.7134,1.0
2020-04-23 10:05:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:06:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:07:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:08:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:09:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:10:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:11:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:12:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:13:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:14:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:15:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:16:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:17:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:18:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:19:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:20:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:21:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:22:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:23:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:24:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:25:00,1.7134,1.7134,1.7134,1.7134,0.0
2020-04-23 10:26:00,1.7204,1.7204,1.7204,1.7204,1.0
2020-04-23 10:27:00,1.7204,1.7204,1.7204,1.7204,0.0
2020-04-23 10:28:00,1.7204,1.7204,1.7204,1.7204,0.0
2020-04-23 10:29:00,1.7204,1.7204,1.7204,1.7204,0.0
2020-04-23 10:30:00,1.7204,1.7204,1.7204,1.7204,0.0
2020-04-23 10:31:00,1.7212,1.7212,1.7212,1.7212,3.0
2020-04-23 10:32:00,1.7212,1.7212,1.7212,1.7212,0.0
2020-04-23 10:33:00,1.7212,1.7212,1.7212,1.7212,0.0
2020-04-23 10:34:00,1.7212,1.7212,1.7212,1.7212,0.0
2020-04-23 10:35:00,1.7212,1.7212,1.7212,1.7212,0.0
2020-04-23 10:36:00,1.7212,1.7212,1.7212,1.7212,0.0
2020-04-23 10:37:00,1.7212,1.7212,1.7212,1.7212,0.0
2020-04-23 10:38:00,1.7221,1.7221,1.7221,1.7221,3.0
2020-04-23 10:39:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:40:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:41:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:42:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:43:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:44:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:45:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:46:00,1.7221,1.7221,1.7221,1.7221,0.0
2020-04-23 10:47:00,1.7796,1.7796,1.7795,1.7795,10.0
2020-04-23 10:48:00,1.7795,1.7795,1.7795,1.7795,0.0
2020-04-23 10:49:00,1.7795,1.7795,1.7795,1.7795,0.0
2020-04-23 10:50:00,1.7795,1.7795,1.7795,1.7795,0.0
2020-04-23 10:51:00,1.7795,1.7795,1.7795,1.7795,0.0
2020-04-23 10:52:00,1.7794,1.7794,1.7794,1.7794,10.0
2020-04-23 10:53:00,1.7227,1.7784,1.7227,1.7784,10.0
2020-04-23 10:54:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 10:55:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 10:56:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 10:57:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 10:58:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 10:59:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 11:00:00,1.7784,1.7784,1.7784,1.7784,0.0
2020-04-23 11:01:00,1.7223,1.7223,1.7223,1.7223,5.0
2020-04-23 11:02:00,1.7223,1.7223,1.7223,1.7223,0.0
2020-04-23 11:03:00,1.7223,1.7223,1.7223,1.7223,0.0
2020-04-23 11:04:00,1.7223,1.7223,1.7223,1.7223,0.0
2020-04-23 11:05:00,1.7223,1.7223,1.7223,1.7223,0.0
2020-04-23 11:06:00,1.7227,1.7227,1.7227,1.7227,5.0
2020-04-23 11:07:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:08:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:09:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:10:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:11:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:12:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:13:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:14:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:15:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:16:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:17:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:18:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:19:00,1.7227,1.7227,1.7227,1.7227,0.0
2020-04-23 11:20:00,1.722,1.722,1.722,1.722,3.0
2020-04-23 11:21:00,1.72,1.72,1.72,1.72,2.0
2020-04-23 11:22:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:23:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:24:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:25:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:26:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:27:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:28:00,1.7792,1.7792,1.7792,1.7792,4.0
2020-04-23 11:29:00,1.7792,1.7792,1.7792,1.7792,0.0
2020-04-23 11:30:00,1.72,1.72,1.72,1.72,6.0
2020-04-23 11:31:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:32:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:33:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:34:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:35:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:36:00,1.72,1.72,1.72,1.72,7.0
2020-04-23 11:37:00,1.72,1.72,1.72,1.72,3.0
2020-04-23 11:38:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:39:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:40:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:41:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:42:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:43:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:44:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:45:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:46:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:47:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:48:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 11:49:00,1.75,1.75,1.75,1.75,2.0
2020-04-23 11:50:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:51:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:52:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:53:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:54:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:55:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:56:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:57:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 11:58:00,1.75,1.75,1.75,1.75,5.0
2020-04-23 11:59:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:00:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:01:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:02:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:03:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:04:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:05:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:06:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:07:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:08:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:09:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:10:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:11:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:12:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:13:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:14:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:15:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:16:00,1.75,1.75,1.75,1.75,0.0
2020-04-23 12:17:00,1.76,1.76,1.76,1.76,2.0
2020-04-23 12:18:00,1.76,1.76,1.76,1.76,0.0
2020-04-23 12:19:00,1.76,1.76,1.76,1.76,0.0
2020-04-23 12:20:00,1.72,1.72,1.72,1.72,3.0
2020-04-23 12:21:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:22:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:23:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:24:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:25:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:26:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:27:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:28:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:29:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:30:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:31:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:32:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:33:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:34:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:35:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:36:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:37:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:38:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:39:00,1.72,1.72,1.72,1.72,2.0
2020-04-23 12:40:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:41:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:42:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:43:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:44:00,1.72,1.72,1.72,1.72,0.0
2020-04-23 12:45:00,1.72,1.72,1.72,1.72,0.0
