,open,high,low,close,volume
2020-02-25 09:30:00,7.07,7.09,7.07,7.09,284.0
2020-02-25 09:31:00,7.09,7.09,7.09,7.09,0.0
2020-02-25 09:32:00,7.09,7.09,7.09,7.09,0.0
2020-02-25 09:33:00,7.08,7.08,7.08,7.08,34.0
2020-02-25 09:34:00,7.08,7.08,7.08,7.08,0.0
2020-02-25 09:35:00,7.07,7.07,7.07,7.07,100.0
2020-02-25 09:36:00,7.07,7.07,7.07,7.07,0.0
2020-02-25 09:37:00,7.07,7.07,7.07,7.07,0.0
2020-02-25 09:38:00,7.07,7.07,7.07,7.07,0.0
2020-02-25 09:39:00,7.08,7.08,7.08,7.08,1.0
2020-02-25 09:40:00,7.08,7.08,7.08,7.08,3.0
2020-02-25 09:41:00,7.08,7.08,7.08,7.08,0.0
2020-02-25 09:42:00,7.08,7.08,7.08,7.08,0.0
2020-02-25 09:43:00,7.08,7.08,7.08,7.08,0.0
2020-02-25 09:44:00,7.08,7.08,7.08,7.08,0.0
2020-02-25 09:45:00,7.08,7.08,7.08,7.08,0.0
2020-02-25 09:46:00,7.06,7.06,7.06,7.06,2.0
2020-02-25 09:47:00,7.06,7.06,7.06,7.06,0.0
2020-02-25 09:48:00,7.06,7.06,7.06,7.06,0.0
2020-02-25 09:49:00,7.06,7.06,7.06,7.06,0.0
2020-02-25 09:50:00,7.05,7.06,7.05,7.05,4.0
2020-02-25 09:51:00,7.05,7.05,7.05,7.05,15.0
2020-02-25 09:52:00,7.05,7.05,7.05,7.05,0.0
2020-02-25 09:53:00,7.06,7.06,7.0575,7.06,17.0
2020-02-25 09:54:00,7.05,7.05,7.04,7.04,210.0
2020-02-25 09:55:00,7.04,7.04,7.04,7.04,0.0
2020-02-25 09:56:00,7.06,7.06,7.04,7.045,32.0
2020-02-25 09:57:00,7.045,7.045,7.045,7.045,8.0
2020-02-25 09:58:00,7.05,7.07,7.05,7.07,145.0
2020-02-25 09:59:00,7.07,7.07,7.07,7.07,0.0
2020-02-25 10:00:00,7.06,7.06,7.06,7.06,7.0
2020-02-25 10:01:00,7.06,7.06,7.06,7.06,0.0
2020-02-25 10:02:00,7.06,7.06,7.054,7.054,12.0
2020-02-25 10:03:00,7.054,7.054,7.054,7.054,0.0
2020-02-25 10:04:00,7.05,7.05,7.05,7.05,45.0
2020-02-25 10:05:00,7.05,7.05,7.05,7.05,0.0
2020-02-25 10:06:00,7.05,7.05,7.05,7.05,11.0
2020-02-25 10:07:00,7.06,7.06,7.06,7.06,7.0
2020-02-25 10:08:00,7.05,7.05,7.05,7.05,19.0
2020-02-25 10:09:00,7.05,7.05,7.05,7.05,14.0
2020-02-25 10:10:00,7.05,7.05,7.05,7.05,0.0
2020-02-25 10:11:00,7.04,7.04,7.04,7.04,17.0
2020-02-25 10:12:00,7.053,7.06,7.053,7.06,93.0
2020-02-25 10:13:00,7.06,7.06,7.03,7.03,139.0
2020-02-25 10:14:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:15:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:16:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:17:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:18:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:19:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:20:00,7.03,7.03,7.03,7.03,0.0
2020-02-25 10:21:00,7.04,7.04,7.04,7.04,4.0
2020-02-25 10:22:00,7.03,7.03,7.03,7.03,2.0
2020-02-25 10:23:00,7.02,7.02,7.02,7.02,198.0
2020-02-25 10:24:00,7.03,7.03,7.03,7.03,92.0
2020-02-25 10:25:00,7.025,7.025,7.006,7.006,98.0
2020-02-25 10:26:00,7.01,7.01,7.008,7.008,118.0
2020-02-25 10:27:00,7.0,7.01,7.0,7.01,66.0
2020-02-25 10:28:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 10:29:00,7.02,7.02,7.02,7.02,90.0
2020-02-25 10:30:00,7.015,7.015,7.015,7.015,2.0
2020-02-25 10:31:00,7.015,7.015,7.015,7.015,1.0
2020-02-25 10:32:00,7.02,7.02,7.02,7.02,4.0
2020-02-25 10:33:00,7.01,7.01,7.01,7.01,1776.0
2020-02-25 10:34:00,7.0,7.0,7.0,7.0,66.0
2020-02-25 10:35:00,7.0,7.0,6.99,6.99,520.0
2020-02-25 10:36:00,7.0,7.0,6.9994,7.0,109.0
2020-02-25 10:37:00,7.0,7.0,7.0,7.0,251.0
2020-02-25 10:38:00,7.0,7.0,6.995,7.0,136.0
2020-02-25 10:39:00,7.0,7.0,7.0,7.0,384.0
2020-02-25 10:40:00,7.0,7.0,6.99,7.0,269.0
2020-02-25 10:41:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 10:42:00,7.02,7.02,7.01,7.01,14.0
2020-02-25 10:43:00,7.0,7.0,7.0,7.0,3.0
2020-02-25 10:44:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 10:45:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 10:46:00,7.015,7.015,7.015,7.015,1.0
2020-02-25 10:47:00,7.01,7.01,7.01,7.01,13.0
2020-02-25 10:48:00,7.01,7.01,7.01,7.01,6.0
2020-02-25 10:49:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 10:50:00,7.015,7.015,7.015,7.015,8.0
2020-02-25 10:51:00,7.01,7.01,7.01,7.01,8.0
2020-02-25 10:52:00,6.98,6.98,6.96,6.96,151.0
2020-02-25 10:53:00,6.96,6.96,6.96,6.96,0.0
2020-02-25 10:54:00,6.96,6.96,6.96,6.96,0.0
2020-02-25 10:55:00,6.975,6.975,6.975,6.975,14.0
2020-02-25 10:56:00,6.975,6.975,6.975,6.975,0.0
2020-02-25 10:57:00,6.975,6.975,6.975,6.975,0.0
2020-02-25 10:58:00,6.98,6.98,6.98,6.98,14.0
2020-02-25 10:59:00,6.986,6.99,6.986,6.99,17.0
2020-02-25 11:00:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:01:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:02:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:03:00,6.998,6.998,6.998,6.998,17.0
2020-02-25 11:04:00,6.998,6.998,6.998,6.998,0.0
2020-02-25 11:05:00,6.9995,6.9995,6.9995,6.9995,5.0
2020-02-25 11:06:00,6.9995,6.9995,6.9995,6.9995,0.0
2020-02-25 11:07:00,6.9995,6.9995,6.9995,6.9995,0.0
2020-02-25 11:08:00,6.998,7.0,6.99,6.99,12.0
2020-02-25 11:09:00,6.98,6.989,6.98,6.989,30.0
2020-02-25 11:10:00,6.9999,6.9999,6.9999,6.9999,7.0
2020-02-25 11:11:00,6.9999,6.9999,6.9999,6.9999,0.0
2020-02-25 11:12:00,7.01,7.01,7.01,7.01,2.0
2020-02-25 11:13:00,7.003,7.003,7.003,7.003,10.0
2020-02-25 11:14:00,7.003,7.003,7.003,7.003,0.0
2020-02-25 11:15:00,6.985,7.0,6.97,6.985,44.0
2020-02-25 11:16:00,6.9985,6.9999,6.97,6.9999,32.0
2020-02-25 11:17:00,6.9999,6.9999,6.9999,6.9999,0.0
2020-02-25 11:18:00,6.97,6.99,6.97,6.99,857.0
2020-02-25 11:19:00,6.98,6.99,6.98,6.99,21.0
2020-02-25 11:20:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:21:00,6.9999,6.9999,6.9999,6.9999,23.0
2020-02-25 11:22:00,6.985,6.985,6.985,6.985,1.0
2020-02-25 11:23:00,6.987,6.987,6.987,6.987,1.0
2020-02-25 11:24:00,6.99,6.99,6.99,6.99,5.0
2020-02-25 11:25:00,6.9999,6.9999,6.9999,6.9999,6.0
2020-02-25 11:26:00,7.01,7.01,7.01,7.01,70.0
2020-02-25 11:27:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 11:28:00,7.0099,7.0099,7.005,7.005,3.0
2020-02-25 11:29:00,7.005,7.005,7.005,7.005,0.0
2020-02-25 11:30:00,7.005,7.005,7.005,7.005,0.0
2020-02-25 11:31:00,7.005,7.005,7.005,7.005,0.0
2020-02-25 11:32:00,7.005,7.005,7.005,7.005,0.0
2020-02-25 11:33:00,7.005,7.005,7.005,7.005,0.0
2020-02-25 11:34:00,7.005,7.005,6.99,6.99,3.0
2020-02-25 11:35:00,7.01,7.01,7.01,7.01,77.0
2020-02-25 11:36:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 11:37:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 11:38:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 11:39:00,7.0001,7.0001,7.0,7.0,6.0
2020-02-25 11:40:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 11:41:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 11:42:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 11:43:00,7.0,7.0,7.0,7.0,26.0
2020-02-25 11:44:00,7.0,7.0,7.0,7.0,13.0
2020-02-25 11:45:00,7.0,7.0,6.99,6.9975,26.0
2020-02-25 11:46:00,6.9975,6.9975,6.9975,6.9975,0.0
2020-02-25 11:47:00,6.99,6.99,6.99,6.99,4.0
2020-02-25 11:48:00,7.0,7.0,7.0,7.0,2.0
2020-02-25 11:49:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 11:50:00,6.994,7.0,6.99,7.0,30.0
2020-02-25 11:51:00,6.99,6.99,6.99,6.99,21.0
2020-02-25 11:52:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:53:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:54:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:55:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:56:00,6.99,6.99,6.99,6.99,0.0
2020-02-25 11:57:00,7.01,7.01,7.01,7.01,1.0
2020-02-25 11:58:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 11:59:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 12:00:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 12:01:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 12:02:00,7.01,7.01,7.01,7.01,0.0
2020-02-25 12:03:00,7.0,7.0,7.0,7.0,39.0
2020-02-25 12:04:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:05:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:06:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:07:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:08:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:09:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:10:00,7.0,7.0,7.0,7.0,0.0
2020-02-25 12:11:00,7.0,7.0,7.0,7.0,0.0
