,open,high,low,close,volume
2020-04-15 09:30:00,0.05,0.25,0.05,0.05,1360.0
2020-04-15 09:31:00,0.05,0.05,0.05,0.05,206.0
2020-04-15 09:32:00,0.05,0.05,0.05,0.05,32.0
2020-04-15 09:33:00,0.05,0.05,0.05,0.05,155.0
2020-04-15 09:34:00,0.05,0.0601,0.05,0.0601,194.0
2020-04-15 09:35:00,0.0601,0.0601,0.0601,0.0601,110.0
2020-04-15 09:36:00,0.0601,0.0601,0.0601,0.0601,244.0
2020-04-15 09:37:00,0.0601,0.11,0.0601,0.0601,151.0
2020-04-15 09:38:00,0.0601,0.0647,0.0601,0.0601,144.0
2020-04-15 09:39:00,0.0701,0.0701,0.0601,0.0601,746.0
2020-04-15 09:40:00,0.0602,0.1,0.0601,0.1,100.0
2020-04-15 09:41:00,0.08,0.2575,0.08,0.08,157.0
2020-04-15 09:42:00,0.2099,0.2099,0.1,0.1,138.0
2020-04-15 09:43:00,0.1,0.19,0.1,0.11,76.0
2020-04-15 09:44:00,0.11,0.12,0.11,0.12,46.0
2020-04-15 09:45:00,0.13,0.13,0.12,0.13,65.0
2020-04-15 09:46:00,0.13,0.21,0.13,0.21,30.0
2020-04-15 09:47:00,0.14,0.17,0.12,0.14,169.0
2020-04-15 09:48:00,0.14,0.15,0.125,0.15,160.0
2020-04-15 09:49:00,0.14,0.15,0.14,0.15,145.0
2020-04-15 09:50:00,0.15,0.15,0.15,0.15,82.0
2020-04-15 09:51:00,0.15,0.16,0.15,0.16,154.0
2020-04-15 09:52:00,0.15,0.16,0.125,0.14,279.0
2020-04-15 09:53:00,0.11,0.14,0.1,0.1,167.0
2020-04-15 09:54:00,0.14,0.14,0.1,0.1,154.0
2020-04-15 09:55:00,0.1,0.11,0.1,0.11,109.0
2020-04-15 09:56:00,0.12,0.12,0.12,0.12,12.0
2020-04-15 09:57:00,0.11,0.14,0.11,0.14,77.0
2020-04-15 09:58:00,0.11,0.11,0.11,0.11,44.0
2020-04-15 09:59:00,0.11,0.11,0.11,0.11,33.0
2020-04-15 10:00:00,0.11,0.14,0.11,0.11,70.0
2020-04-15 10:01:00,0.11,0.11,0.11,0.11,90.0
2020-04-15 10:02:00,0.19,0.19,0.11,0.14,92.0
2020-04-15 10:03:00,0.11,0.11,0.11,0.11,50.0
2020-04-15 10:04:00,0.12,0.12,0.11,0.11,122.0
2020-04-15 10:05:00,0.12,0.12,0.11,0.11,48.0
2020-04-15 10:06:00,0.11,0.1101,0.11,0.11,128.0
2020-04-15 10:07:00,0.11,0.1499,0.11,0.12,126.0
2020-04-15 10:08:00,0.12,0.12,0.11,0.11,118.0
2020-04-15 10:09:00,0.14,0.14,0.11,0.14,74.0
2020-04-15 10:10:00,0.08,0.14,0.08,0.14,152.0
2020-04-15 10:11:00,0.11,0.12,0.11,0.11,605.0
2020-04-15 10:12:00,0.125,0.125,0.11,0.12,98.0
2020-04-15 10:13:00,0.11,0.1101,0.11,0.11,559.0
2020-04-15 10:14:00,0.11,0.11,0.08,0.08,153.0
2020-04-15 10:15:00,0.11,0.11,0.08,0.11,197.0
2020-04-15 10:16:00,0.1,0.1,0.1,0.1,150.0
2020-04-15 10:17:00,0.09,0.14,0.09,0.14,112.0
2020-04-15 10:18:00,0.1,0.12,0.09,0.09,151.0
2020-04-15 10:19:00,0.09,0.12,0.09,0.12,158.0
2020-04-15 10:20:00,0.139,0.14,0.139,0.14,518.0
2020-04-15 10:21:00,0.14,0.14,0.09,0.14,38.0
2020-04-15 10:22:00,0.1,0.1,0.1,0.1,41.0
2020-04-15 10:23:00,0.1,0.11,0.1,0.1001,65.0
2020-04-15 10:24:00,0.1151,0.13,0.1001,0.13,83.0
2020-04-15 10:25:00,0.14,0.14,0.13,0.14,207.0
2020-04-15 10:26:00,0.13,0.145,0.13,0.145,85.0
2020-04-15 10:27:00,0.14,0.14,0.1,0.1,52.0
2020-04-15 10:28:00,0.13,0.13,0.1,0.1,101.0
