,open,high,low,close,volume
2020-02-25 09:30:00,5.17,5.17,5.0,5.16,170.0
2020-02-25 09:31:00,5.17,5.19,5.1,5.16,57.0
2020-02-25 09:32:00,5.15,5.16,5.15,5.16,44.0
2020-02-25 09:33:00,5.19,5.19,5.132,5.132,37.0
2020-02-25 09:34:00,5.15,5.15,5.075,5.075,32.0
2020-02-25 09:35:00,5.0684,5.0684,5.05,5.06,37.0
2020-02-25 09:36:00,5.05,5.065,5.05,5.065,50.0
2020-02-25 09:37:00,5.1086,5.11,5.04,5.08,106.0
2020-02-25 09:38:00,5.0875,5.1,5.045,5.045,55.0
2020-02-25 09:39:00,5.05,5.0525,5.04,5.0525,15.0
2020-02-25 09:40:00,5.09,5.09,5.09,5.09,13.0
2020-02-25 09:41:00,5.0775,5.0853,5.04,5.0853,13.0
2020-02-25 09:42:00,5.0853,5.0853,5.0853,5.0853,0.0
2020-02-25 09:43:00,5.0525,5.0525,5.0525,5.0525,1.0
2020-02-25 09:44:00,5.0525,5.0575,5.04,5.0575,14.0
2020-02-25 09:45:00,5.11,5.11,5.11,5.11,19.0
2020-02-25 09:46:00,5.0766,5.08,5.04,5.05,21.0
2020-02-25 09:47:00,5.0386,5.0386,5.0152,5.0152,88.0
2020-02-25 09:48:00,5.0125,5.0125,5.0,5.0,11.0
2020-02-25 09:49:00,5.01,5.01,5.0,5.0,4.0
2020-02-25 09:50:00,5.01,5.01,5.01,5.01,5.0
2020-02-25 09:51:00,5.0152,5.0152,5.01,5.01,8.0
2020-02-25 09:52:00,5.01,5.01,5.01,5.01,0.0
2020-02-25 09:53:00,5.025,5.025,5.01,5.01,57.0
2020-02-25 09:54:00,5.01,5.01,5.01,5.01,0.0
2020-02-25 09:55:00,5.01,5.01,5.01,5.01,0.0
2020-02-25 09:56:00,5.04,5.04,5.02,5.02,9.0
2020-02-25 09:57:00,5.04,5.04,5.04,5.04,5.0
2020-02-25 09:58:00,5.01,5.01,5.01,5.01,11.0
2020-02-25 09:59:00,5.0101,5.0101,5.01,5.01,2.0
2020-02-25 10:00:00,5.01,5.0337,5.01,5.0337,9.0
2020-02-25 10:01:00,5.04,5.05,5.04,5.05,19.0
2020-02-25 10:02:00,5.02,5.0463,5.02,5.04,19.0
2020-02-25 10:03:00,5.04,5.04,5.04,5.04,11.0
2020-02-25 10:04:00,5.0476,5.055,5.0476,5.055,9.0
2020-02-25 10:05:00,5.055,5.055,5.055,5.055,1.0
2020-02-25 10:06:00,5.0599,5.0599,5.0539,5.0585,11.0
2020-02-25 10:07:00,5.05,5.05,5.0335,5.04,7.0
2020-02-25 10:08:00,5.045,5.045,5.045,5.045,4.0
2020-02-25 10:09:00,5.04,5.05,5.0399,5.05,46.0
2020-02-25 10:10:00,5.05,5.05,5.05,5.05,20.0
2020-02-25 10:11:00,5.0358,5.0358,5.0358,5.0358,4.0
2020-02-25 10:12:00,5.03,5.03,5.01,5.01,21.0
2020-02-25 10:13:00,5.01,5.01,5.01,5.01,0.0
2020-02-25 10:14:00,5.02,5.02,5.02,5.02,2.0
