,open,high,low,close,volume
2020-02-25 09:30:00,0.795,0.809,0.79,0.8045,111.0
2020-02-25 09:31:00,0.8045,0.809,0.8045,0.809,12.0
2020-02-25 09:32:00,0.805,0.81,0.805,0.8099,73.0
2020-02-25 09:33:00,0.8099,0.81,0.8099,0.8099,6.0
2020-02-25 09:34:00,0.8099,0.8099,0.8099,0.8099,2.0
2020-02-25 09:35:00,0.8149,0.8149,0.8149,0.8149,7.0
2020-02-25 09:36:00,0.8198,0.8198,0.81,0.81,20.0
2020-02-25 09:37:00,0.8198,0.825,0.81,0.8198,46.0
2020-02-25 09:38:00,0.82,0.825,0.82,0.825,110.0
2020-02-25 09:39:00,0.83,0.85,0.83,0.84,23.0
2020-02-25 09:40:00,0.85,0.85,0.85,0.85,10.0
2020-02-25 09:41:00,0.835,0.84,0.835,0.84,6.0
2020-02-25 09:42:00,0.8457,0.85,0.8457,0.85,118.0
2020-02-25 09:43:00,0.8457,0.8479,0.8457,0.8466,46.0
2020-02-25 09:44:00,0.85,0.85,0.85,0.85,2.0
2020-02-25 09:45:00,0.8301,0.84,0.8301,0.84,8.0
2020-02-25 09:46:00,0.84,0.84,0.84,0.84,0.0
2020-02-25 09:47:00,0.84,0.84,0.84,0.84,1.0
2020-02-25 09:48:00,0.84,0.84,0.84,0.84,0.0
2020-02-25 09:49:00,0.84,0.85,0.83,0.8301,224.0
2020-02-25 09:50:00,0.82,0.846,0.795,0.815,92.0
2020-02-25 09:51:00,0.815,0.815,0.815,0.815,0.0
2020-02-25 09:52:00,0.815,0.815,0.815,0.815,0.0
2020-02-25 09:53:00,0.815,0.815,0.815,0.815,0.0
2020-02-25 09:54:00,0.82,0.82,0.81,0.81,24.0
2020-02-25 09:55:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 09:56:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 09:57:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 09:58:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 09:59:00,0.815,0.815,0.815,0.815,1.0
2020-02-25 10:00:00,0.815,0.815,0.815,0.815,0.0
2020-02-25 10:01:00,0.82,0.82,0.82,0.82,23.0
2020-02-25 10:02:00,0.82,0.82,0.82,0.82,0.0
2020-02-25 10:03:00,0.82,0.82,0.82,0.82,0.0
2020-02-25 10:04:00,0.815,0.815,0.815,0.815,1.0
2020-02-25 10:05:00,0.815,0.815,0.815,0.815,0.0
2020-02-25 10:06:00,0.82,0.82,0.82,0.82,2.0
2020-02-25 10:07:00,0.82,0.82,0.82,0.82,0.0
2020-02-25 10:08:00,0.82,0.82,0.82,0.82,2.0
2020-02-25 10:09:00,0.82,0.82,0.82,0.82,22.0
2020-02-25 10:10:00,0.81,0.81,0.81,0.81,20.0
2020-02-25 10:11:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 10:12:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 10:13:00,0.81,0.81,0.81,0.81,0.0
2020-02-25 10:14:00,0.825,0.825,0.825,0.825,10.0
2020-02-25 10:15:00,0.825,0.825,0.825,0.825,0.0
2020-02-25 10:16:00,0.825,0.825,0.825,0.825,0.0
