,open,high,low,close,volume
2020-02-25 09:30:00,3.02,3.02,3.01,3.02,1571.0
2020-02-25 09:31:00,3.03,3.03,3.03,3.03,10.0
2020-02-25 09:32:00,3.025,3.03,3.02,3.0299,150.0
2020-02-25 09:33:00,3.025,3.03,3.02,3.02,55.0
2020-02-25 09:34:00,3.021,3.021,3.02,3.02,50.0
2020-02-25 09:35:00,3.02,3.02,3.02,3.02,22.0
2020-02-25 09:36:00,3.02,3.02,3.02,3.02,23.0
2020-02-25 09:37:00,3.015,3.02,3.015,3.0199,60.0
2020-02-25 09:38:00,3.01,3.02,3.01,3.02,288.0
2020-02-25 09:39:00,3.015,3.015,3.01,3.01,6.0
2020-02-25 09:40:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 09:41:00,3.01,3.01,3.01,3.01,3.0
2020-02-25 09:42:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 09:43:00,3.02,3.02,3.01,3.01,120.0
2020-02-25 09:44:00,3.03,3.03,3.03,3.03,5.0
2020-02-25 09:45:00,3.02,3.03,3.01,3.02,15.0
2020-02-25 09:46:00,3.01,3.015,3.01,3.01,236.0
2020-02-25 09:47:00,3.01,3.01,3.01,3.01,172.0
2020-02-25 09:48:00,3.02,3.02,3.02,3.02,10.0
2020-02-25 09:49:00,3.015,3.015,3.01,3.01,105.0
2020-02-25 09:50:00,3.02,3.02,3.02,3.02,5.0
2020-02-25 09:51:00,3.01,3.01,3.01,3.01,1.0
2020-02-25 09:52:00,3.01,3.01,3.01,3.01,20.0
2020-02-25 09:53:00,3.01,3.01,3.01,3.01,8.0
2020-02-25 09:54:00,3.01,3.015,3.01,3.01,405.0
2020-02-25 09:55:00,3.02,3.02,3.01,3.01,29.0
2020-02-25 09:56:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 09:57:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 09:58:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 09:59:00,3.01,3.01,3.01,3.01,18.0
2020-02-25 10:00:00,3.013,3.013,3.013,3.013,286.0
2020-02-25 10:01:00,3.013,3.013,3.013,3.013,0.0
2020-02-25 10:02:00,3.02,3.02,3.015,3.02,25.0
2020-02-25 10:03:00,3.02,3.02,3.02,3.02,8.0
2020-02-25 10:04:00,3.02,3.02,3.02,3.02,0.0
2020-02-25 10:05:00,3.02,3.02,3.02,3.02,2.0
2020-02-25 10:06:00,3.02,3.02,3.0178,3.0178,18.0
2020-02-25 10:07:00,3.01,3.01,3.01,3.01,11.0
2020-02-25 10:08:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:09:00,3.0101,3.0101,3.01,3.01,43.0
2020-02-25 10:10:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:11:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:12:00,3.01,3.02,3.01,3.0101,40.0
2020-02-25 10:13:00,3.01,3.01,3.01,3.01,170.0
2020-02-25 10:14:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:15:00,3.01,3.01,3.01,3.01,10.0
2020-02-25 10:16:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:17:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:18:00,3.01,3.01,3.01,3.01,0.0
2020-02-25 10:19:00,3.015,3.015,3.01,3.01,139.0
2020-02-25 10:20:00,3.005,3.01,3.005,3.01,50.0
2020-02-25 10:21:00,3.005,3.005,3.0,3.0,367.0
2020-02-25 10:22:00,3.0,3.01,3.0,3.0,18.0
2020-02-25 10:23:00,3.0,3.0,3.0,3.0,1694.0
2020-02-25 10:24:00,3.0,3.0,2.98,2.98,634.0
2020-02-25 10:25:00,2.98,2.98,2.975,2.975,68.0
2020-02-25 10:26:00,2.98,3.0,2.98,3.0,123.0
2020-02-25 10:27:00,3.0,3.0,3.0,3.0,58.0
2020-02-25 10:28:00,3.0,3.01,3.0,3.01,37.0
2020-02-25 10:29:00,3.0,3.0,3.0,3.0,35.0
2020-02-25 10:30:00,3.0,3.0,3.0,3.0,75.0
2020-02-25 10:31:00,3.0,3.0,3.0,3.0,2.0
2020-02-25 10:32:00,3.0,3.0,3.0,3.0,1.0
2020-02-25 10:33:00,3.01,3.01,3.0,3.0,12.0
2020-02-25 10:34:00,3.0,3.0,3.0,3.0,0.0
2020-02-25 10:35:00,3.0,3.0,3.0,3.0,0.0
2020-02-25 10:36:00,2.99,2.99,2.99,2.99,12.0
2020-02-25 10:37:00,2.99,2.99,2.99,2.99,3.0
2020-02-25 10:38:00,2.985,2.9878,2.985,2.9878,55.0
2020-02-25 10:39:00,2.9878,2.9878,2.9878,2.9878,0.0
2020-02-25 10:40:00,2.9878,2.9878,2.9878,2.9878,0.0
2020-02-25 10:41:00,2.98,2.98,2.98,2.98,20.0
2020-02-25 10:42:00,2.99,2.99,2.98,2.98,151.0
2020-02-25 10:43:00,2.98,2.985,2.98,2.985,11.0
2020-02-25 10:44:00,2.98,2.99,2.98,2.99,140.0
2020-02-25 10:45:00,2.985,2.99,2.98,2.99,107.0
2020-02-25 10:46:00,2.985,2.99,2.985,2.99,9.0
2020-02-25 10:47:00,2.99,3.0,2.99,2.99,53.0
2020-02-25 10:48:00,2.99,2.99,2.99,2.99,12.0
2020-02-25 10:49:00,2.99,2.99,2.99,2.99,0.0
2020-02-25 10:50:00,2.985,2.985,2.985,2.985,1.0
2020-02-25 10:51:00,2.98,2.98,2.98,2.98,2.0
2020-02-25 10:52:00,2.98,2.99,2.98,2.99,14.0
2020-02-25 10:53:00,2.99,2.99,2.98,2.98,6.0
2020-02-25 10:54:00,2.98,2.98,2.98,2.98,2.0
2020-02-25 10:55:00,2.98,2.98,2.98,2.98,2.0
2020-02-25 10:56:00,2.98,2.99,2.98,2.98,13.0
2020-02-25 10:57:00,2.98,2.99,2.98,2.98,43.0
2020-02-25 10:58:00,2.98,2.98,2.98,2.98,11.0
2020-02-25 10:59:00,2.98,2.98,2.98,2.98,7.0
2020-02-25 11:00:00,2.98,2.98,2.98,2.98,4.0
2020-02-25 11:01:00,2.985,2.99,2.98,2.98,99.0
2020-02-25 11:02:00,2.98,2.98,2.98,2.98,0.0
2020-02-25 11:03:00,2.99,2.99,2.98,2.98,42.0
2020-02-25 11:04:00,2.98,2.98,2.98,2.98,0.0
