,open,high,low,close,volume
2020-02-25 09:30:00,3.33,3.33,3.32,3.33,581.0
2020-02-25 09:31:00,3.33,3.33,3.32,3.33,145.0
2020-02-25 09:32:00,3.32,3.325,3.305,3.305,91.0
2020-02-25 09:33:00,3.3,3.31,3.3,3.31,102.0
2020-02-25 09:34:00,3.31,3.31,3.31,3.31,47.0
2020-02-25 09:35:00,3.31,3.31,3.305,3.305,19.0
2020-02-25 09:36:00,3.305,3.31,3.3,3.305,141.0
2020-02-25 09:37:00,3.305,3.305,3.3,3.3,32.0
2020-02-25 09:38:00,3.3,3.3,3.3,3.3,20.0
2020-02-25 09:39:00,3.305,3.31,3.3,3.31,70.0
2020-02-25 09:40:00,3.31,3.31,3.31,3.31,51.0
2020-02-25 09:41:00,3.315,3.33,3.31,3.31,51.0
2020-02-25 09:42:00,3.32,3.32,3.32,3.32,10.0
2020-02-25 09:43:00,3.32,3.32,3.31,3.31,51.0
2020-02-25 09:44:00,3.31,3.32,3.31,3.32,59.0
2020-02-25 09:45:00,3.31,3.315,3.31,3.31,143.0
2020-02-25 09:46:00,3.3,3.3,3.3,3.3,2.0
2020-02-25 09:47:00,3.305,3.305,3.3,3.305,37.0
2020-02-25 09:48:00,3.3,3.3055,3.3,3.305,35.0
2020-02-25 09:49:00,3.3,3.306,3.3,3.3,118.0
2020-02-25 09:50:00,3.305,3.305,3.3,3.3,402.0
2020-02-25 09:51:00,3.305,3.305,3.29,3.29,333.0
2020-02-25 09:52:00,3.3,3.3,3.28,3.28,213.0
2020-02-25 09:53:00,3.2899,3.29,3.2899,3.29,8.0
2020-02-25 09:54:00,3.29,3.29,3.286,3.29,13.0
2020-02-25 09:55:00,3.29,3.29,3.28,3.29,58.0
2020-02-25 09:56:00,3.285,3.29,3.28,3.285,234.0
2020-02-25 09:57:00,3.285,3.29,3.28,3.29,167.0
2020-02-25 09:58:00,3.3,3.3,3.3,3.3,145.0
2020-02-25 09:59:00,3.3,3.3,3.3,3.3,0.0
2020-02-25 10:00:00,3.31,3.31,3.3,3.3,35.0
2020-02-25 10:01:00,3.31,3.3155,3.31,3.3155,205.0
2020-02-25 10:02:00,3.307,3.307,3.3,3.3,20.0
2020-02-25 10:03:00,3.3,3.3,3.3,3.3,114.0
2020-02-25 10:04:00,3.32,3.32,3.31,3.31,40.0
2020-02-25 10:05:00,3.31,3.32,3.31,3.31,173.0
2020-02-25 10:06:00,3.3,3.3,3.3,3.3,32.0
2020-02-25 10:07:00,3.29,3.3,3.29,3.29,75.0
2020-02-25 10:08:00,3.295,3.295,3.28,3.29,65.0
2020-02-25 10:09:00,3.28,3.285,3.28,3.285,57.0
2020-02-25 10:10:00,3.285,3.285,3.285,3.285,13.0
2020-02-25 10:11:00,3.285,3.3,3.28,3.28,101.0
2020-02-25 10:12:00,3.285,3.285,3.285,3.285,30.0
2020-02-25 10:13:00,3.285,3.285,3.285,3.285,0.0
2020-02-25 10:14:00,3.285,3.29,3.285,3.29,19.0
2020-02-25 10:15:00,3.29,3.29,3.29,3.29,0.0
2020-02-25 10:16:00,3.285,3.29,3.28,3.28,102.0
2020-02-25 10:17:00,3.28,3.29,3.28,3.29,42.0
2020-02-25 10:18:00,3.28,3.29,3.28,3.28,234.0
2020-02-25 10:19:00,3.28,3.29,3.28,3.28,860.0
2020-02-25 10:20:00,3.285,3.285,3.28,3.28,281.0
2020-02-25 10:21:00,3.28,3.28,3.26,3.26,1263.0
2020-02-25 10:22:00,3.26,3.26,3.25,3.25,570.0
2020-02-25 10:23:00,3.25,3.25,3.24,3.24,469.0
2020-02-25 10:24:00,3.24,3.245,3.23,3.23,637.0
2020-02-25 10:25:00,3.23,3.23,3.23,3.23,137.0
2020-02-25 10:26:00,3.225,3.24,3.22,3.235,357.0
2020-02-25 10:27:00,3.24,3.252,3.24,3.24,31.0
2020-02-25 10:28:00,3.2499,3.26,3.24,3.244,160.0
2020-02-25 10:29:00,3.245,3.25,3.245,3.245,58.0
2020-02-25 10:30:00,3.25,3.26,3.24,3.25,211.0
2020-02-25 10:31:00,3.2422,3.2422,3.24,3.24,20.0
2020-02-25 10:32:00,3.25,3.25,3.24,3.24,54.0
2020-02-25 10:33:00,3.25,3.25,3.24,3.24,153.0
2020-02-25 10:34:00,3.24,3.24,3.23,3.23,315.0
2020-02-25 10:35:00,3.23,3.23,3.23,3.23,0.0
2020-02-25 10:36:00,3.23,3.24,3.23,3.23,190.0
2020-02-25 10:37:00,3.235,3.235,3.23,3.23,85.0
2020-02-25 10:38:00,3.23,3.23,3.22,3.23,27.0
