,open,high,low,close,volume
2020-02-25 09:30:00,1.595,1.595,1.5035,1.52,345.0
2020-02-25 09:31:00,1.52,1.52,1.51,1.5125,40.0
2020-02-25 09:32:00,1.51,1.51,1.51,1.51,1.0
2020-02-25 09:33:00,1.5072,1.5182,1.5072,1.5182,9.0
2020-02-25 09:34:00,1.5182,1.5182,1.5182,1.5182,0.0
2020-02-25 09:35:00,1.5149,1.5295,1.5149,1.5295,13.0
2020-02-25 09:36:00,1.5295,1.5295,1.5295,1.5295,0.0
2020-02-25 09:37:00,1.52,1.52,1.515,1.5195,45.0
2020-02-25 09:38:00,1.5195,1.5195,1.5195,1.5195,0.0
2020-02-25 09:39:00,1.5105,1.52,1.51,1.52,110.0
2020-02-25 09:40:00,1.51,1.53,1.51,1.53,114.0
2020-02-25 09:41:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 09:42:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 09:43:00,1.5255,1.5255,1.5255,1.5255,3.0
2020-02-25 09:44:00,1.5296,1.5296,1.5296,1.5296,20.0
2020-02-25 09:45:00,1.5295,1.5295,1.5295,1.5295,20.0
2020-02-25 09:46:00,1.5,1.5,1.5,1.5,10.0
2020-02-25 09:47:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:48:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:49:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:50:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:51:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:52:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:53:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:54:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:55:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 09:56:00,1.52,1.52,1.52,1.52,2.0
2020-02-25 09:57:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 09:58:00,1.5246,1.5246,1.5246,1.5246,10.0
2020-02-25 09:59:00,1.5246,1.5246,1.5246,1.5246,0.0
2020-02-25 10:00:00,1.5246,1.5246,1.5246,1.5246,0.0
2020-02-25 10:01:00,1.52,1.53,1.52,1.53,120.0
2020-02-25 10:02:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 10:03:00,1.53,1.53,1.5246,1.5246,33.0
2020-02-25 10:04:00,1.5246,1.5246,1.5246,1.5246,0.0
2020-02-25 10:05:00,1.515,1.52,1.515,1.52,7.0
2020-02-25 10:06:00,1.525,1.5295,1.525,1.5295,53.0
2020-02-25 10:07:00,1.53,1.53,1.53,1.53,2.0
2020-02-25 10:08:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 10:09:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 10:10:00,1.525,1.5272,1.52,1.5272,11.0
2020-02-25 10:11:00,1.52,1.5273,1.52,1.5273,10.0
2020-02-25 10:12:00,1.5273,1.5273,1.5273,1.5273,0.0
2020-02-25 10:13:00,1.51,1.51,1.51,1.51,130.0
2020-02-25 10:14:00,1.51,1.53,1.51,1.53,457.0
2020-02-25 10:15:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 10:16:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 10:17:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 10:18:00,1.53,1.53,1.53,1.53,4.0
2020-02-25 10:19:00,1.525,1.525,1.525,1.525,1.0
2020-02-25 10:20:00,1.525,1.5277,1.525,1.5277,16.0
2020-02-25 10:21:00,1.5238,1.5238,1.5238,1.5238,40.0
2020-02-25 10:22:00,1.52,1.52,1.51,1.51,22.0
2020-02-25 10:23:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 10:24:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 10:25:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 10:26:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 10:27:00,1.53,1.53,1.53,1.53,2.0
2020-02-25 10:28:00,1.52,1.5212,1.52,1.5212,33.0
2020-02-25 10:29:00,1.5212,1.5212,1.5212,1.5212,0.0
2020-02-25 10:30:00,1.53,1.53,1.52,1.53,15.0
2020-02-25 10:31:00,1.525,1.525,1.525,1.525,5.0
2020-02-25 10:32:00,1.53,1.53,1.525,1.5277,33.0
2020-02-25 10:33:00,1.5277,1.5277,1.5277,1.5277,0.0
2020-02-25 10:34:00,1.5277,1.5277,1.5277,1.5277,0.0
2020-02-25 10:35:00,1.5237,1.5237,1.5237,1.5237,3.0
2020-02-25 10:36:00,1.52,1.525,1.52,1.52,19.0
2020-02-25 10:37:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:38:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:39:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:40:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:41:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:42:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:43:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:44:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:45:00,1.5177,1.5177,1.5177,1.5177,50.0
2020-02-25 10:46:00,1.5177,1.5177,1.5177,1.5177,0.0
2020-02-25 10:47:00,1.5177,1.5177,1.5177,1.5177,0.0
2020-02-25 10:48:00,1.5195,1.5195,1.5195,1.5195,2.0
2020-02-25 10:49:00,1.5195,1.5195,1.5195,1.5195,0.0
2020-02-25 10:50:00,1.51,1.52,1.51,1.52,21.0
2020-02-25 10:51:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:52:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:53:00,1.52,1.52,1.52,1.52,400.0
2020-02-25 10:54:00,1.51,1.52,1.51,1.52,16.0
2020-02-25 10:55:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 10:56:00,1.53,1.53,1.525,1.5272,130.0
2020-02-25 10:57:00,1.5272,1.5272,1.5272,1.5272,0.0
2020-02-25 10:58:00,1.5317,1.5317,1.53,1.53,78.0
2020-02-25 10:59:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:00:00,1.53,1.53,1.53,1.53,10.0
2020-02-25 11:01:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:02:00,1.525,1.53,1.525,1.53,20.0
2020-02-25 11:03:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:04:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:05:00,1.53,1.53,1.53,1.53,41.0
2020-02-25 11:06:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:07:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:08:00,1.539,1.539,1.539,1.539,3.0
2020-02-25 11:09:00,1.539,1.539,1.539,1.539,0.0
2020-02-25 11:10:00,1.539,1.539,1.539,1.539,0.0
2020-02-25 11:11:00,1.5399,1.5399,1.53,1.53,53.0
2020-02-25 11:12:00,1.52,1.53,1.52,1.53,10.0
2020-02-25 11:13:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:14:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:15:00,1.535,1.535,1.535,1.535,1.0
2020-02-25 11:16:00,1.535,1.535,1.535,1.535,0.0
2020-02-25 11:17:00,1.54,1.54,1.54,1.54,13.0
2020-02-25 11:18:00,1.54,1.54,1.54,1.54,19.0
2020-02-25 11:19:00,1.54,1.54,1.54,1.54,0.0
2020-02-25 11:20:00,1.54,1.54,1.54,1.54,0.0
2020-02-25 11:21:00,1.54,1.54,1.54,1.54,0.0
2020-02-25 11:22:00,1.535,1.535,1.535,1.535,10.0
2020-02-25 11:23:00,1.535,1.535,1.535,1.535,0.0
2020-02-25 11:24:00,1.53,1.53,1.53,1.53,2.0
2020-02-25 11:25:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:26:00,1.52,1.5295,1.52,1.5295,9.0
2020-02-25 11:27:00,1.5295,1.5295,1.5295,1.5295,0.0
2020-02-25 11:28:00,1.5285,1.5285,1.5285,1.5285,3.0
2020-02-25 11:29:00,1.5233,1.5233,1.5233,1.5233,13.0
2020-02-25 11:30:00,1.513,1.513,1.513,1.513,1.0
2020-02-25 11:31:00,1.52,1.5267,1.52,1.52,73.0
2020-02-25 11:32:00,1.52,1.52,1.52,1.52,0.0
2020-02-25 11:33:00,1.529,1.5291,1.529,1.5291,29.0
2020-02-25 11:34:00,1.53,1.53,1.53,1.53,21.0
2020-02-25 11:35:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:36:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 11:37:00,1.53,1.53,1.519,1.5245,65.0
2020-02-25 11:38:00,1.5245,1.5245,1.5245,1.5245,0.0
2020-02-25 11:39:00,1.5245,1.5245,1.5245,1.5245,0.0
2020-02-25 11:40:00,1.5245,1.5245,1.5245,1.5245,0.0
2020-02-25 11:41:00,1.5245,1.5245,1.5245,1.5245,0.0
2020-02-25 11:42:00,1.5245,1.5245,1.5245,1.5245,0.0
2020-02-25 11:43:00,1.5245,1.5245,1.5245,1.5245,0.0
2020-02-25 11:44:00,1.51,1.51,1.51,1.51,14.0
2020-02-25 11:45:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 11:46:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 11:47:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 11:48:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 11:49:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 11:50:00,1.5145,1.5145,1.5145,1.5145,12.0
2020-02-25 11:51:00,1.517,1.517,1.517,1.517,3.0
2020-02-25 11:52:00,1.517,1.517,1.517,1.517,0.0
2020-02-25 11:53:00,1.515,1.515,1.515,1.515,3.0
2020-02-25 11:54:00,1.52,1.52,1.52,1.52,14.0
2020-02-25 11:55:00,1.515,1.5191,1.515,1.5191,39.0
2020-02-25 11:56:00,1.5191,1.5191,1.5191,1.5191,0.0
2020-02-25 11:57:00,1.5191,1.5191,1.5191,1.5191,0.0
2020-02-25 11:58:00,1.5191,1.5191,1.5191,1.5191,0.0
2020-02-25 11:59:00,1.5191,1.5191,1.5191,1.5191,0.0
2020-02-25 12:00:00,1.5191,1.5191,1.5191,1.5191,0.0
2020-02-25 12:01:00,1.5191,1.5191,1.5191,1.5191,0.0
2020-02-25 12:02:00,1.515,1.515,1.5148,1.5148,10.0
2020-02-25 12:03:00,1.5148,1.5148,1.5148,1.5148,0.0
2020-02-25 12:04:00,1.5148,1.5148,1.5148,1.5148,0.0
2020-02-25 12:05:00,1.5148,1.5148,1.5148,1.5148,0.0
2020-02-25 12:06:00,1.52,1.52,1.515,1.52,110.0
2020-02-25 12:07:00,1.51,1.51,1.51,1.51,2.0
2020-02-25 12:08:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:09:00,1.5177,1.5177,1.5177,1.5177,98.0
2020-02-25 12:10:00,1.5177,1.5177,1.5177,1.5177,0.0
2020-02-25 12:11:00,1.5177,1.5177,1.5177,1.5177,0.0
2020-02-25 12:12:00,1.5204,1.5204,1.5204,1.5204,60.0
2020-02-25 12:13:00,1.53,1.53,1.53,1.53,10.0
2020-02-25 12:14:00,1.53,1.53,1.53,1.53,37.0
2020-02-25 12:15:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:16:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:17:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:18:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:19:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:20:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:21:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:22:00,1.53,1.53,1.53,1.53,0.0
2020-02-25 12:23:00,1.529,1.529,1.529,1.529,12.0
2020-02-25 12:24:00,1.529,1.529,1.529,1.529,0.0
2020-02-25 12:25:00,1.529,1.529,1.529,1.529,0.0
2020-02-25 12:26:00,1.529,1.529,1.529,1.529,0.0
2020-02-25 12:27:00,1.529,1.529,1.529,1.529,0.0
2020-02-25 12:28:00,1.529,1.529,1.529,1.529,0.0
2020-02-25 12:29:00,1.5178,1.5178,1.51,1.51,22.0
2020-02-25 12:30:00,1.5154,1.5154,1.5154,1.5154,2.0
2020-02-25 12:31:00,1.5154,1.5154,1.5154,1.5154,0.0
2020-02-25 12:32:00,1.5138,1.5138,1.5138,1.5138,14.0
2020-02-25 12:33:00,1.5138,1.5138,1.5138,1.5138,0.0
2020-02-25 12:34:00,1.5138,1.5138,1.5138,1.5138,0.0
2020-02-25 12:35:00,1.5138,1.5138,1.5138,1.5138,0.0
2020-02-25 12:36:00,1.5138,1.5138,1.5138,1.5138,0.0
2020-02-25 12:37:00,1.5138,1.5138,1.5138,1.5138,0.0
2020-02-25 12:38:00,1.51,1.51,1.51,1.51,5.0
2020-02-25 12:39:00,1.51,1.51,1.51,1.51,5.0
2020-02-25 12:40:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:41:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:42:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:43:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:44:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:45:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:46:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 12:47:00,1.51,1.51,1.51,1.51,5.0
2020-02-25 12:48:00,1.5005,1.5005,1.5,1.5,40.0
2020-02-25 12:49:00,1.5,1.51,1.5,1.5,52.0
2020-02-25 12:50:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 12:51:00,1.5,1.5,1.5,1.5,20.0
2020-02-25 12:52:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 12:53:00,1.4987,1.5,1.4984,1.5,5.0
2020-02-25 12:54:00,1.505,1.505,1.5,1.5,30.0
2020-02-25 12:55:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 12:56:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 12:57:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 12:58:00,1.505,1.51,1.505,1.51,25.0
2020-02-25 12:59:00,1.505,1.505,1.5,1.5,11.0
2020-02-25 13:00:00,1.5095,1.5095,1.5095,1.5095,2.0
2020-02-25 13:01:00,1.5095,1.5095,1.5095,1.5095,0.0
2020-02-25 13:02:00,1.51,1.51,1.51,1.51,4.0
2020-02-25 13:03:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 13:04:00,1.505,1.505,1.5,1.5,75.0
2020-02-25 13:05:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:06:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:07:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:08:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:09:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:10:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:11:00,1.505,1.51,1.505,1.51,10.0
2020-02-25 13:12:00,1.505,1.505,1.5,1.5,75.0
2020-02-25 13:13:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:14:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:15:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:16:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:17:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:18:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:19:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:20:00,1.51,1.51,1.51,1.51,5.0
2020-02-25 13:21:00,1.51,1.51,1.51,1.51,0.0
2020-02-25 13:22:00,1.503,1.5048,1.5,1.5,110.0
2020-02-25 13:23:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:24:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:25:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:26:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:27:00,1.5,1.5,1.5,1.5,0.0
2020-02-25 13:28:00,1.503,1.503,1.503,1.503,10.0
2020-02-25 13:29:00,1.503,1.503,1.503,1.503,0.0
2020-02-25 13:30:00,1.51,1.51,1.51,1.51,1.0
