,open,high,low,close,volume
2020-02-25 09:30:00,5.43,5.45,5.43,5.45,12.0
2020-02-25 09:31:00,5.45,5.45,5.45,5.45,0.0
2020-02-25 09:32:00,5.45,5.45,5.45,5.45,0.0
2020-02-25 09:33:00,5.45,5.45,5.45,5.45,0.0
2020-02-25 09:34:00,5.45,5.45,5.45,5.45,0.0
2020-02-25 09:35:00,5.44,5.44,5.44,5.44,50.0
2020-02-25 09:36:00,5.445,5.445,5.445,5.445,15.0
2020-02-25 09:37:00,5.445,5.445,5.445,5.445,0.0
2020-02-25 09:38:00,5.445,5.445,5.445,5.445,0.0
2020-02-25 09:39:00,5.44,5.44,5.44,5.44,200.0
2020-02-25 09:40:00,5.44,5.44,5.44,5.44,0.0
2020-02-25 09:41:00,5.43,5.43,5.43,5.43,2.0
2020-02-25 09:42:00,5.43,5.43,5.43,5.43,0.0
2020-02-25 09:43:00,5.43,5.43,5.43,5.43,10.0
2020-02-25 09:44:00,5.43,5.43,5.43,5.43,0.0
2020-02-25 09:45:00,5.43,5.43,5.43,5.43,0.0
2020-02-25 09:46:00,5.423,5.423,5.423,5.423,10.0
2020-02-25 09:47:00,5.423,5.423,5.423,5.423,0.0
2020-02-25 09:48:00,5.423,5.423,5.423,5.423,0.0
2020-02-25 09:49:00,5.423,5.423,5.423,5.423,0.0
2020-02-25 09:50:00,5.423,5.423,5.423,5.423,0.0
2020-02-25 09:51:00,5.426,5.426,5.426,5.426,4.0
2020-02-25 09:52:00,5.426,5.426,5.426,5.426,0.0
2020-02-25 09:53:00,5.426,5.426,5.426,5.426,0.0
2020-02-25 09:54:00,5.435,5.44,5.435,5.44,3.0
2020-02-25 09:55:00,5.44,5.44,5.44,5.44,0.0
2020-02-25 09:56:00,5.42,5.42,5.42,5.42,10.0
2020-02-25 09:57:00,5.42,5.42,5.42,5.42,0.0
2020-02-25 09:58:00,5.42,5.42,5.42,5.42,1.0
2020-02-25 09:59:00,5.425,5.426,5.425,5.426,6.0
2020-02-25 10:00:00,5.426,5.426,5.426,5.426,0.0
2020-02-25 10:01:00,5.426,5.426,5.426,5.426,0.0
2020-02-25 10:02:00,5.415,5.415,5.415,5.415,2.0
2020-02-25 10:03:00,5.415,5.415,5.415,5.415,0.0
2020-02-25 10:04:00,5.415,5.42,5.415,5.42,119.0
2020-02-25 10:05:00,5.415,5.415,5.415,5.415,9.0
2020-02-25 10:06:00,5.415,5.415,5.415,5.415,0.0
2020-02-25 10:07:00,5.415,5.415,5.415,5.415,0.0
2020-02-25 10:08:00,5.415,5.415,5.415,5.415,0.0
2020-02-25 10:09:00,5.415,5.415,5.415,5.415,0.0
2020-02-25 10:10:00,5.415,5.415,5.415,5.415,0.0
2020-02-25 10:11:00,5.41,5.42,5.41,5.42,35.0
2020-02-25 10:12:00,5.42,5.42,5.42,5.42,0.0
2020-02-25 10:13:00,5.42,5.42,5.42,5.42,0.0
2020-02-25 10:14:00,5.41,5.41,5.41,5.41,7.0
2020-02-25 10:15:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:16:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:17:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:18:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:19:00,5.408,5.408,5.408,5.408,4.0
2020-02-25 10:20:00,5.4,5.4,5.4,5.4,18.0
2020-02-25 10:21:00,5.414,5.414,5.413,5.413,10.0
2020-02-25 10:22:00,5.413,5.413,5.413,5.413,5.0
2020-02-25 10:23:00,5.413,5.413,5.413,5.413,0.0
2020-02-25 10:24:00,5.413,5.413,5.413,5.413,0.0
2020-02-25 10:25:00,5.41,5.41,5.41,5.41,1.0
2020-02-25 10:26:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:27:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:28:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:29:00,5.41,5.41,5.41,5.41,0.0
2020-02-25 10:30:00,5.41,5.416,5.4,5.4,210.0
2020-02-25 10:31:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:32:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:33:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:34:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:35:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:36:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:37:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:38:00,5.405,5.405,5.405,5.405,5.0
2020-02-25 10:39:00,5.405,5.405,5.405,5.405,0.0
2020-02-25 10:40:00,5.405,5.405,5.405,5.405,0.0
2020-02-25 10:41:00,5.4,5.4,5.4,5.4,10.0
2020-02-25 10:42:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:43:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:44:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:45:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:46:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:47:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:48:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:49:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:50:00,5.4,5.4,5.4,5.4,0.0
2020-02-25 10:51:00,5.4,5.4,5.4,5.4,5.0
