,open,high,low,close,volume
2020-06-30 04:00:00,0.55,0.55,0.55,0.55,2.0
2020-06-30 04:01:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:02:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:03:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:04:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:05:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:06:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:07:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:08:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:09:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:10:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:11:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:12:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:13:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:14:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:15:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:16:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:17:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:18:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:19:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:20:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:21:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:22:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:23:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:24:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:25:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:26:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:27:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:28:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:29:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:30:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:31:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:32:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:33:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:34:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:35:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:36:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:37:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:38:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:39:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:40:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:41:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:42:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:43:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:44:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:45:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:46:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:47:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:48:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:49:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:50:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:51:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:52:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:53:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:54:00,0.55,0.55,0.55,0.55,0.0
2020-06-30 04:55:00,0.55,0.55,0.55,0.55,0.0
