,open,high,low,close,volume
2020-02-25 09:30:00,0.022,0.0245,0.022,0.0244,2869.0
2020-02-25 09:31:00,0.0247,0.0247,0.0247,0.0247,851.0
2020-02-25 09:32:00,0.0248,0.0248,0.023,0.023,530.0
2020-02-25 09:33:00,0.0245,0.0245,0.0245,0.0245,60.0
2020-02-25 09:34:00,0.0245,0.029,0.024,0.024,2861.0
2020-02-25 09:35:00,0.027,0.0288,0.027,0.0271,750.0
2020-02-25 09:36:00,0.025,0.026,0.024,0.024,578.0
2020-02-25 09:37:00,0.024,0.024,0.0235,0.0235,1000.0
2020-02-25 09:38:00,0.0235,0.024,0.0232,0.0232,2150.0
2020-02-25 09:39:00,0.0232,0.0239,0.0232,0.0233,523.0
2020-02-25 09:40:00,0.0232,0.0232,0.0231,0.0231,637.0
2020-02-25 09:41:00,0.0231,0.0231,0.0231,0.0231,0.0
2020-02-25 09:42:00,0.0235,0.0237,0.0235,0.0235,557.0
2020-02-25 09:43:00,0.0232,0.0235,0.0232,0.0235,730.0
2020-02-25 09:44:00,0.0237,0.024,0.0237,0.024,1852.0
2020-02-25 09:45:00,0.0258,0.0265,0.0256,0.0263,1950.0
2020-02-25 09:46:00,0.0263,0.0263,0.0245,0.0245,1106.0
2020-02-25 09:47:00,0.0259,0.0259,0.0259,0.0259,290.0
2020-02-25 09:48:00,0.025,0.0252,0.025,0.025,1175.0
2020-02-25 09:49:00,0.0248,0.0254,0.0241,0.0254,671.0
2020-02-25 09:50:00,0.0246,0.0246,0.0232,0.0236,950.0
2020-02-25 09:51:00,0.0233,0.0233,0.0232,0.0232,500.0
2020-02-25 09:52:00,0.0232,0.0232,0.0232,0.0232,0.0
2020-02-25 09:53:00,0.0232,0.0232,0.0232,0.0232,0.0
2020-02-25 09:54:00,0.0232,0.0232,0.0232,0.0232,0.0
2020-02-25 09:55:00,0.0232,0.0232,0.0232,0.0232,0.0
2020-02-25 09:56:00,0.025,0.025,0.023,0.023,902.0
2020-02-25 09:57:00,0.022,0.0224,0.0211,0.0224,1023.0
