,open,high,low,close,volume
2020-02-25 09:30:00,2.16,2.32,2.16,2.32,3.0
2020-02-25 09:31:00,2.32,2.32,2.3161,2.32,14.0
2020-02-25 09:32:00,2.32,2.32,2.32,2.32,0.0
2020-02-25 09:33:00,2.34,2.34,2.34,2.34,3.0
2020-02-25 09:34:00,2.32,2.34,2.32,2.34,4.0
2020-02-25 09:35:00,2.31,2.31,2.31,2.31,9.0
2020-02-25 09:36:00,2.31,2.3286,2.2705,2.2705,102.0
2020-02-25 09:37:00,2.3284,2.3284,2.3284,2.3284,1.0
2020-02-25 09:38:00,2.3284,2.3284,2.3284,2.3284,0.0
2020-02-25 09:39:00,2.3284,2.3284,2.3284,2.3284,0.0
2020-02-25 09:40:00,2.298,2.3,2.298,2.3,10.0
2020-02-25 09:41:00,2.3,2.3,2.3,2.3,0.0
2020-02-25 09:42:00,2.3,2.3,2.3,2.3,0.0
2020-02-25 09:43:00,2.3,2.3,2.3,2.3,0.0
2020-02-25 09:44:00,2.27,2.27,2.25,2.2699,9.0
2020-02-25 09:45:00,2.27,2.3029,2.27,2.3029,40.0
2020-02-25 09:46:00,2.27,2.27,2.27,2.27,6.0
2020-02-25 09:47:00,2.27,2.27,2.27,2.27,0.0
2020-02-25 09:48:00,2.25,2.25,2.25,2.25,5.0
2020-02-25 09:49:00,2.26,2.26,2.26,2.26,1.0
2020-02-25 09:50:00,2.26,2.26,2.26,2.26,0.0
2020-02-25 09:51:00,2.26,2.26,2.2576,2.2577,6.0
2020-02-25 09:52:00,2.26,2.2827,2.26,2.2827,19.0
2020-02-25 09:53:00,2.26,2.31,2.26,2.31,14.0
2020-02-25 09:54:00,2.31,2.31,2.31,2.31,0.0
2020-02-25 09:55:00,2.31,2.31,2.31,2.31,0.0
2020-02-25 09:56:00,2.297,2.3057,2.297,2.3057,2.0
2020-02-25 09:57:00,2.3057,2.3057,2.3057,2.3057,0.0
2020-02-25 09:58:00,2.2711,2.3,2.2711,2.3,2.0
2020-02-25 09:59:00,2.2791,2.2791,2.2791,2.2791,28.0
2020-02-25 10:00:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:01:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:02:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:03:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:04:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:05:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:06:00,2.2791,2.2791,2.2791,2.2791,0.0
2020-02-25 10:07:00,2.2791,2.2791,2.2791,2.2791,0.0
