,open,high,low,close,volume
2020-02-25 09:30:00,0.1898,0.2185,0.1898,0.21,2869.0
2020-02-25 09:31:00,0.21,0.21,0.21,0.21,0.0
2020-02-25 09:32:00,0.21,0.21,0.21,0.21,0.0
2020-02-25 09:33:00,0.2159,0.2159,0.21,0.2141,80.0
2020-02-25 09:34:00,0.2141,0.2141,0.2141,0.2141,0.0
2020-02-25 09:35:00,0.2187,0.2187,0.21,0.21,30.0
2020-02-25 09:36:00,0.2213,0.2279,0.2213,0.2279,60.0
2020-02-25 09:37:00,0.2165,0.2165,0.21,0.2164,255.0
2020-02-25 09:38:00,0.2309,0.2309,0.228,0.228,37.0
2020-02-25 09:39:00,0.2248,0.2272,0.2248,0.2272,63.0
2020-02-25 09:40:00,0.2272,0.2272,0.2272,0.2272,0.0
2020-02-25 09:41:00,0.21,0.21,0.21,0.21,1.0
2020-02-25 09:42:00,0.21,0.21,0.21,0.21,0.0
2020-02-25 09:43:00,0.22,0.22,0.21,0.21,47.0
2020-02-25 09:44:00,0.21,0.21,0.21,0.21,0.0
2020-02-25 09:45:00,0.21,0.21,0.21,0.21,0.0
2020-02-25 09:46:00,0.2197,0.2197,0.2197,0.2197,250.0
2020-02-25 09:47:00,0.21,0.21,0.21,0.21,60.0
2020-02-25 09:48:00,0.21,0.21,0.21,0.21,10.0
2020-02-25 09:49:00,0.21,0.21,0.21,0.21,21.0
2020-02-25 09:50:00,0.21,0.215,0.21,0.215,7.0
2020-02-25 09:51:00,0.21,0.21,0.21,0.21,64.0
2020-02-25 09:52:00,0.21,0.21,0.21,0.21,0.0
2020-02-25 09:53:00,0.2115,0.2115,0.21,0.2105,34.0
2020-02-25 09:54:00,0.21,0.215,0.21,0.215,254.0
2020-02-25 09:55:00,0.217,0.217,0.217,0.217,5.0
2020-02-25 09:56:00,0.2148,0.2148,0.2097,0.21,815.0
2020-02-25 09:57:00,0.21,0.21,0.21,0.21,190.0
2020-02-25 09:58:00,0.2148,0.2158,0.2148,0.2158,34.0
2020-02-25 09:59:00,0.2158,0.2158,0.2158,0.2158,0.0
2020-02-25 10:00:00,0.2158,0.2158,0.2158,0.2158,0.0
2020-02-25 10:01:00,0.2055,0.2072,0.2055,0.2072,15.0
2020-02-25 10:02:00,0.2118,0.2118,0.2076,0.2076,40.0
2020-02-25 10:03:00,0.206,0.2076,0.2055,0.2076,52.0
2020-02-25 10:04:00,0.2063,0.2063,0.2018,0.2018,112.0
2020-02-25 10:05:00,0.2018,0.2018,0.2018,0.2018,0.0
2020-02-25 10:06:00,0.2018,0.2018,0.2018,0.2018,0.0
2020-02-25 10:07:00,0.2034,0.2034,0.202,0.202,390.0
2020-02-25 10:08:00,0.2034,0.2034,0.2034,0.2034,30.0
2020-02-25 10:09:00,0.2034,0.2034,0.2034,0.2034,0.0
2020-02-25 10:10:00,0.2021,0.205,0.2021,0.205,245.0
2020-02-25 10:11:00,0.205,0.205,0.205,0.205,0.0
2020-02-25 10:12:00,0.205,0.205,0.205,0.205,0.0
2020-02-25 10:13:00,0.2129,0.2129,0.2075,0.2075,283.0
2020-02-25 10:14:00,0.2075,0.2075,0.2075,0.2075,0.0
