,open,high,low,close,volume
2020-02-24 09:30:00,0.0076,0.0077,0.0074,0.0074,1279.0
2020-02-24 09:31:00,0.0075,0.0075,0.0075,0.0075,300.0
2020-02-24 09:32:00,0.0075,0.0075,0.0074,0.0074,700.0
2020-02-24 09:33:00,0.0074,0.0074,0.0074,0.0074,243.0
2020-02-24 09:34:00,0.0074,0.0074,0.0074,0.0074,0.0
2020-02-24 09:35:00,0.0074,0.0074,0.0074,0.0074,0.0
2020-02-24 09:36:00,0.0074,0.0074,0.0072,0.0073,1185.0
2020-02-24 09:37:00,0.0073,0.0073,0.0073,0.0073,550.0
2020-02-24 09:38:00,0.0072,0.0072,0.0072,0.0072,250.0
2020-02-24 09:39:00,0.0072,0.0072,0.0069,0.007,18494.0
2020-02-24 09:40:00,0.0069,0.007,0.0069,0.007,450.0
2020-02-24 09:41:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:42:00,0.0069,0.0069,0.0069,0.0069,350.0
2020-02-24 09:43:00,0.0069,0.0069,0.0069,0.0069,100.0
2020-02-24 09:44:00,0.007,0.007,0.007,0.007,200.0
2020-02-24 09:45:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:46:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:47:00,0.007,0.007,0.007,0.007,50.0
2020-02-24 09:48:00,0.0069,0.0069,0.0069,0.0069,50.0
2020-02-24 09:49:00,0.007,0.007,0.007,0.007,90.0
2020-02-24 09:50:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:51:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:52:00,0.007,0.007,0.007,0.007,110.0
2020-02-24 09:53:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:54:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 09:55:00,0.007,0.007,0.0069,0.0069,50.0
2020-02-24 09:56:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 09:57:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 09:58:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 09:59:00,0.0069,0.0069,0.0069,0.0069,40.0
2020-02-24 10:00:00,0.0069,0.0069,0.0069,0.0069,20.0
2020-02-24 10:01:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:02:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:03:00,0.007,0.007,0.007,0.007,50.0
2020-02-24 10:04:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:05:00,0.007,0.007,0.007,0.007,290.0
2020-02-24 10:06:00,0.007,0.007,0.007,0.007,100.0
2020-02-24 10:07:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:08:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:09:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:10:00,0.007,0.007,0.007,0.007,331.0
2020-02-24 10:11:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:12:00,0.0069,0.0069,0.0069,0.0069,249.0
2020-02-24 10:13:00,0.0069,0.0069,0.0069,0.0069,200.0
2020-02-24 10:14:00,0.0069,0.007,0.0069,0.007,3299.0
2020-02-24 10:15:00,0.007,0.007,0.007,0.007,49.0
2020-02-24 10:16:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:17:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:18:00,0.0069,0.0069,0.0069,0.0069,40.0
2020-02-24 10:19:00,0.007,0.007,0.0069,0.0069,350.0
2020-02-24 10:20:00,0.0069,0.0069,0.0069,0.0069,50.0
2020-02-24 10:21:00,0.007,0.007,0.007,0.007,80.0
2020-02-24 10:22:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:23:00,0.007,0.007,0.007,0.007,50.0
2020-02-24 10:24:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:25:00,0.007,0.007,0.0069,0.0069,250.0
2020-02-24 10:26:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:27:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:28:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:29:00,0.0069,0.0069,0.0069,0.0069,50.0
2020-02-24 10:30:00,0.0068,0.0068,0.0068,0.0068,50.0
2020-02-24 10:31:00,0.0068,0.0068,0.0068,0.0068,645.0
2020-02-24 10:32:00,0.0068,0.0068,0.0068,0.0068,0.0
2020-02-24 10:33:00,0.0068,0.0068,0.0068,0.0068,0.0
2020-02-24 10:34:00,0.0068,0.0068,0.0068,0.0068,0.0
2020-02-24 10:35:00,0.0068,0.0068,0.0068,0.0068,0.0
2020-02-24 10:36:00,0.007,0.007,0.007,0.007,50.0
2020-02-24 10:37:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:38:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:39:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:40:00,0.0069,0.0069,0.0069,0.0069,49.0
2020-02-24 10:41:00,0.007,0.007,0.007,0.007,49.0
2020-02-24 10:42:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:43:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:44:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:45:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:46:00,0.0069,0.0069,0.0069,0.0069,10.0
2020-02-24 10:47:00,0.0069,0.0069,0.0069,0.0069,552.0
2020-02-24 10:48:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:49:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 10:50:00,0.007,0.007,0.007,0.007,649.0
2020-02-24 10:51:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:52:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:53:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:54:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:55:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:56:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:57:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:58:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 10:59:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:00:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:01:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:02:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:03:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:04:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:05:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:06:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:07:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:08:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:09:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:10:00,0.007,0.007,0.007,0.007,700.0
2020-02-24 11:11:00,0.0069,0.0069,0.0069,0.0069,4200.0
2020-02-24 11:12:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:13:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:14:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:15:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:16:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:17:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:18:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:19:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:20:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:21:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:22:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:23:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:24:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:25:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:26:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:27:00,0.007,0.007,0.007,0.007,1600.0
2020-02-24 11:28:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:29:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:30:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:31:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:32:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:33:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:34:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:35:00,0.0069,0.0069,0.0069,0.0069,50.0
2020-02-24 11:36:00,0.0069,0.0069,0.0069,0.0069,0.0
2020-02-24 11:37:00,0.007,0.007,0.007,0.007,20.0
2020-02-24 11:38:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:39:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:40:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:41:00,0.007,0.007,0.007,0.007,0.0
2020-02-24 11:42:00,0.007,0.007,0.007,0.007,0.0
