,open,high,low,close,volume
2020-05-18 09:35:00,0.167,0.2363,0.1654,0.18,77638.0
2020-05-18 09:36:00,0.172,0.225,0.1719,0.225,27950.0
2020-05-18 09:37:00,0.2211,0.225,0.1899,0.2,27017.0
2020-05-18 09:38:00,0.1996,0.2112,0.1995,0.2003,29542.0
2020-05-18 09:39:00,0.2001,0.205,0.1918,0.1923,17719.0
2020-05-18 09:40:00,0.1965,0.2052,0.1929,0.2013,22155.0
2020-05-18 09:41:00,0.2013,0.2102,0.2,0.2092,16736.0
2020-05-18 09:42:00,0.2092,0.218,0.206,0.2149,12758.0
2020-05-18 09:43:00,0.2149,0.219,0.21,0.2123,17864.0
2020-05-18 09:44:00,0.215,0.2287,0.2125,0.2257,12357.0
2020-05-18 09:45:00,0.2258,0.23,0.223,0.2289,19158.0
2020-05-18 09:46:00,0.2291,0.2325,0.2196,0.2213,25973.0
2020-05-18 09:47:00,0.22,0.223,0.215,0.2183,13885.0
2020-05-18 09:48:00,0.215,0.22,0.2112,0.218,11250.0
2020-05-18 09:49:00,0.218,0.228,0.218,0.2267,12451.0
2020-05-18 09:50:00,0.2278,0.228,0.22,0.2213,12381.0
2020-05-18 09:51:00,0.2214,0.23,0.2213,0.23,17240.0
2020-05-18 09:52:00,0.2289,0.2352,0.227,0.2348,17045.0
2020-05-18 09:53:00,0.2339,0.2351,0.221,0.2227,10380.0
2020-05-18 09:54:00,0.228,0.2334,0.2226,0.2305,11557.0
2020-05-18 09:55:00,0.2293,0.233,0.2283,0.2308,7319.0
2020-05-18 09:56:00,0.2307,0.2309,0.225,0.225,17480.0
2020-05-18 09:57:00,0.2252,0.23,0.225,0.2292,7841.0
2020-05-18 09:58:00,0.2293,0.2298,0.225,0.225,2938.0
2020-05-18 09:59:00,0.2289,0.2295,0.2248,0.2249,6246.0
2020-05-18 10:00:00,0.2247,0.2279,0.22,0.2218,9451.0
2020-05-18 10:01:00,0.2237,0.2237,0.2053,0.2112,11346.0
2020-05-18 10:02:00,0.213,0.215,0.2111,0.212,5506.0
2020-05-18 10:03:00,0.212,0.219,0.2117,0.212,4225.0
2020-05-18 10:04:00,0.2121,0.214,0.205,0.21,12661.0
2020-05-18 10:05:00,0.2101,0.2109,0.2023,0.2104,10081.0
