,open,high,low,close,volume
2020-02-25 09:30:00,1.28,1.29,1.25,1.26,173.0
2020-02-25 09:31:00,1.26,1.26,1.26,1.26,1.0
2020-02-25 09:32:00,1.285,1.285,1.285,1.285,1.0
2020-02-25 09:33:00,1.29,1.295,1.29,1.2901,8.0
2020-02-25 09:34:00,1.295,1.2955,1.29,1.29,78.0
2020-02-25 09:35:00,1.29,1.29,1.28,1.28,28.0
2020-02-25 09:36:00,1.28,1.282,1.27,1.28,75.0
2020-02-25 09:37:00,1.27,1.27,1.27,1.27,6.0
2020-02-25 09:38:00,1.29,1.29,1.28,1.28,20.0
2020-02-25 09:39:00,1.28,1.28,1.28,1.28,0.0
2020-02-25 09:40:00,1.28,1.28,1.28,1.28,0.0
2020-02-25 09:41:00,1.28,1.28,1.28,1.28,0.0
2020-02-25 09:42:00,1.3,1.305,1.3,1.3,17.0
2020-02-25 09:43:00,1.3,1.3,1.3,1.3,12.0
2020-02-25 09:44:00,1.3,1.31,1.3,1.3,13.0
2020-02-25 09:45:00,1.3,1.3,1.3,1.3,3.0
2020-02-25 09:46:00,1.3,1.3,1.3,1.3,0.0
2020-02-25 09:47:00,1.315,1.32,1.31,1.31,61.0
2020-02-25 09:48:00,1.33,1.33,1.31,1.33,68.0
2020-02-25 09:49:00,1.3,1.31,1.3,1.31,27.0
2020-02-25 09:50:00,1.31,1.31,1.31,1.31,0.0
2020-02-25 09:51:00,1.32,1.32,1.31,1.31,12.0
2020-02-25 09:52:00,1.31,1.31,1.31,1.31,0.0
2020-02-25 09:53:00,1.31,1.31,1.31,1.31,0.0
2020-02-25 09:54:00,1.31,1.31,1.31,1.31,20.0
2020-02-25 09:55:00,1.31,1.31,1.31,1.31,50.0
2020-02-25 09:56:00,1.31,1.31,1.31,1.31,0.0
2020-02-25 09:57:00,1.32,1.32,1.32,1.32,1.0
2020-02-25 09:58:00,1.32,1.32,1.32,1.32,3.0
2020-02-25 09:59:00,1.32,1.33,1.32,1.32,12.0
2020-02-25 10:00:00,1.32,1.32,1.32,1.32,2.0
2020-02-25 10:01:00,1.315,1.32,1.315,1.315,6.0
2020-02-25 10:02:00,1.311,1.311,1.28,1.28,66.0
2020-02-25 10:03:00,1.28,1.28,1.28,1.28,0.0
2020-02-25 10:04:00,1.29,1.3,1.29,1.3,26.0
2020-02-25 10:05:00,1.3,1.32,1.3,1.32,24.0
2020-02-25 10:06:00,1.31,1.32,1.31,1.32,30.0
2020-02-25 10:07:00,1.33,1.33,1.33,1.33,8.0
